gen_length,ref_length,length_ratio,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,bertscore_f1,cider,token_precision,token_recall,token_f1,shot_id,start_time,movie_id
21,23,0.9130434782608695,0.0865863278930203,0.019839420085901584,0.009875913344114992,0.04385964912280701,0.13636363636363635,0.0,0.0909090909090909,0.13812340795993805,0.10398247360154454,0.1111111111111111,0.1,0.1052631573961219,26,108.2,10142
26,23,1.1304347826086956,0.46153846153846156,0.3328201177351375,0.1566391541195429,0.38893262564441167,0.5306122448979592,0.29787234042553196,0.28571428571428575,0.38945817947387695,1.1530348987464447,0.4166666666666667,0.5,0.4545454540495868,27,109.8,10142
23,23,1.0,0.8260869565217391,0.6986718059934283,0.5201869153561253,0.7952547272070336,0.9130434782608695,0.7272727272727273,0.782608695652174,0.7583817839622498,3.6062237787520255,0.8,0.8,0.7999999995000001,28,112.8,10142
21,31,0.6774193548387096,0.41409677174363435,0.32075798013626994,0.24291765168344973,0.4231292517006802,0.5769230769230769,0.32,0.5,0.3628944158554077,2.541832367247334,0.631578947368421,0.42857142857142855,0.5106382973906745,0,0.0,10142
34,17,2.0,0.08823529411764706,0.01635174850419321,0.007205335066302803,0.13368983957219252,0.2745098039215686,0.04081632653061225,0.23529411764705885,0.12279759347438812,0.014484345108526246,0.07407407407407407,0.14285714285714285,0.0975609751600238,1,14.8,10142
32,33,0.9696969696969697,0.15144269288692877,0.02175992847656396,0.008455962870156021,0.07598784194528876,0.15151515151515152,0.0,0.12121212121212122,0.06203431263566017,0.12454121283144504,0.14814814814814814,0.13333333333333333,0.1403508766943675,3,27.6,10142
45,28,1.6071428571428572,0.11111111111111109,0.050251890762960605,0.010874186245524662,0.14356528245417136,0.13513513513513511,0.027777777777777776,0.1081081081081081,0.0711621344089508,0.18062017078589404,0.13513513513513514,0.21739130434782608,0.16666666619388887,5,44.4,10142
31,28,1.1071428571428572,0.2258064516129032,0.08675760324277121,0.017448767890681335,0.18799690812720848,0.26666666666666666,0.034482758620689655,0.16666666666666666,0.08423866331577301,0.17754881384476878,0.19230769230769232,0.21739130434782608,0.20408163215493544,6,45.0,10142
46,24,1.9166666666666667,0.45652173913043476,0.41528757279256745,0.32135913525599774,0.7267487147530769,0.6301369863013699,0.5352112676056338,0.6301369863013699,0.5838618278503418,4.085138453718901,0.4857142857142857,0.85,0.6181818177190083,9,71.0,10142
17,10,1.7,0.4117647058823529,0.27785946511310566,0.043788268658607944,0.6563960280373832,0.5925925925925927,0.24000000000000005,0.37037037037037035,0.5970754027366638,1.7624182442234955,0.4375,0.7,0.5384615379881657,10,79.6,10142
30,10,3.0,0.10000000000000002,0.05872202195147035,0.014614031921776127,0.21296296296296297,0.14634146341463414,0.05128205128205128,0.0975609756097561,0.31239646673202515,0.6746890250489391,0.12,0.3,0.17142857102040815,11,80.8,10142
20,6,3.3333333333333335,0.15,0.08885233166386386,0.02253741272267485,0.2027027027027027,0.23076923076923075,0.08333333333333333,0.23076923076923075,0.3218354284763336,0.19281553782473737,0.17647058823529413,0.5,0.26086956483175805,12,83.0,10142
21,20,1.05,0.14285714285714285,0.026726124191242442,0.012021577610863726,0.0746268656716418,0.14634146341463414,0.0,0.0975609756097561,0.11985116451978683,0.031721989483490406,0.16666666666666666,0.17647058823529413,0.1714285709289796,14,85.2,10142
22,20,1.1,0.36363636363636365,0.2279211529192759,0.060805997510382785,0.3476949257425743,0.5454545454545454,0.28571428571428575,0.5454545454545454,0.508598804473877,0.8904677786845415,0.3888888888888889,0.4117647058823529,0.3999999995004081,15,87.0,10142
21,20,1.05,0.14285714285714285,0.026726124191242442,0.012021577610863726,0.0746268656716418,0.14634146341463414,0.0,0.04878048780487805,0.10391014069318771,0.2107528390592298,0.15,0.17647058823529413,0.16216216166544922,16,87.8,10142
23,20,1.15,0.08695652173913045,0.01988106931218861,0.009849349468888718,0.07389162561576354,0.09302325581395349,0.0,0.09302325581395349,0.11604337394237518,0.04870249528536154,0.1,0.11764705882352941,0.10810810761139518,17,89.8,10142
22,20,1.1,0.4090909090909091,0.24174688920761406,0.06262309791219224,0.4101485148514852,0.6363636363636365,0.28571428571428575,0.5,0.5152442455291748,0.9796563131253361,0.4,0.47058823529411764,0.4324324319357195,18,91.0,10142
26,27,0.9629629629629629,0.25907234617472313,0.14122243829664563,0.04276763809818677,0.1782869281541613,0.39999999999999997,0.22641509433962265,0.2909090909090909,0.2820082902908325,0.4468062822004392,0.21739130434782608,0.23809523809523808,0.2272727267737603,22,101.4,10142
22,27,0.8148148148148148,0.7242758817213286,0.703277901662247,0.6885066936479178,0.7445283018867924,0.84,0.7916666666666667,0.84,0.7296397089958191,7.211224932509128,0.9411764705882353,0.7619047619047619,0.8421052626634348,23,104.8,10142
19,27,0.7037037037037037,0.20727017541184428,0.027491708963792817,0.010459916691538767,0.11450381679389314,0.3404255319148936,0.08888888888888888,0.2127659574468085,0.25311824679374695,0.31055748562243235,0.23529411764705882,0.19047619047619047,0.2105263152950138,24,105.4,10142
19,23,0.8260869565217391,0.17055952314366876,0.02770680992716708,0.01166637220448783,0.08849557522123894,0.18604651162790697,0.0,0.18604651162790697,0.16419312357902527,0.16498556777988643,0.2222222222222222,0.2,0.21052631529085872,25,107.0,10142
21,23,0.9130434782608695,0.0865863278930203,0.019839420085901584,0.009875913344114992,0.04385964912280701,0.13636363636363635,0.0,0.0909090909090909,0.13812340795993805,0.10398247360154454,0.1111111111111111,0.1,0.1052631573961219,26,108.2,10142
26,23,1.1304347826086956,0.4230769230769231,0.31865100272627656,0.15326859947928292,0.4063841201716738,0.5306122448979592,0.29787234042553196,0.32653061224489793,0.40168288350105286,1.1850306815257607,0.42857142857142855,0.45,0.4390243897441999,27,109.8,10142
16,23,0.6956521739130435,0.4035303290174325,0.29469688512043907,0.14122952769850444,0.37152466367713005,0.5641025641025642,0.3783783783783784,0.2564102564102564,0.4499739110469818,1.3784651509962487,0.6,0.45,0.5142857137959184,28,112.8,10142
